690001,Quiz,Spring,2020
690002,Midterm,Spring,2020
690003,Final,Spring,2020
690004,Quiz,Summer,2020
690005,Midterm,Summer,2020
690006,Final,Summer,2020
690007,Quiz,Autumn,2020
690008,Midterm,Autumn,2020
690009,Final,Autumn,2020
690010,Quiz,Spring,2020
690011,Midterm,Spring,2020
690012,Final,Spring,2020
690013,Quiz,Summer,2020
690014,Midterm,Summer,2020
690015,Final,Summer,2020
690016,Quiz,Autumn,2020
690017,Midterm,Autumn,2020
690018,Final,Autumn,2020
690019,Quiz,Spring,2020
690020,Midterm,Spring,2020
690021,Final,Spring,2020
690022,Quiz,Summer,2020
690023,Midterm,Summer,2020
690024,Final,Summer,2020
690025,Quiz,Autumn,2020
690026,Midterm,Autumn,2020
690027,Final,Autumn,2020
690028,Quiz,Spring,2020
690029,Midterm,Spring,2020
690030,Final,Spring,2020
690031,Quiz,Summer,2020
690032,Midterm,Summer,2020
690033,Final,Summer,2020
690034,Quiz,Autumn,2020
690035,Midterm,Autumn,2020
690036,Final,Autumn,2020
690037,Quiz,Spring,2020
690038,Midterm,Spring,2020
690039,Final,Spring,2020
690040,Quiz,Summer,2020
690041,Midterm,Summer,2020
690042,Final,Summer,2020
690043,Quiz,Autumn,2020
690044,Midterm,Autumn,2020
690045,Final,Autumn,2020
690046,Quiz,Spring,2020
690047,Midterm,Spring,2020
690048,Final,Spring,2020
690049,Quiz,Summer,2020
690050,Midterm,Summer,2020
690051,Final,Summer,2020
690052,Quiz,Autumn,2020
690053,Midterm,Autumn,2020
690054,Final,Autumn,2020
690055,Quiz,Spring,2020
690056,Midterm,Spring,2020
690057,Final,Spring,2020
690058,Quiz,Summer,2020
690059,Midterm,Summer,2020
690060,Final,Summer,2020
690061,Quiz,Autumn,2020
690062,Midterm,Autumn,2020
690063,Final,Autumn,2020
690064,Quiz,Spring,2020
690065,Midterm,Spring,2020
690066,Final,Spring,2020
690067,Quiz,Summer,2020
690068,Midterm,Summer,2020
690069,Final,Summer,2020
690070,Quiz,Autumn,2020
690071,Midterm,Autumn,2020
690072,Final,Autumn,2020
690073,Quiz,Spring,2020
690074,Midterm,Spring,2020
690075,Final,Spring,2020
690076,Quiz,Summer,2020
690077,Midterm,Summer,2020
690078,Final,Summer,2020
690079,Quiz,Autumn,2020
690080,Midterm,Autumn,2020
690081,Final,Autumn,2020
690082,Quiz,Spring,2020
690083,Midterm,Spring,2020
690084,Final,Spring,2020
690085,Quiz,Summer,2020
690086,Midterm,Summer,2020
690087,Final,Summer,2020
690088,Quiz,Autumn,2020
690089,Midterm,Autumn,2020
690090,Final,Autumn,2020
690091,Quiz,Spring,2020
690092,Midterm,Spring,2020
690093,Final,Spring,2020
690094,Quiz,Summer,2020
690095,Midterm,Summer,2020
690096,Final,Summer,2020
