11001,20200001
11002,20200001
11004,20200001
11005,20200001
11001,20200002
11002,20200002
11004,20200002
11005,20200002
11001,20200003
11002,20200003
11004,20200003
11005,20200003
11001,20200004
11002,20200004
11004,20200004
11005,20200004
11001,20200005
11002,20200005
11004,20200005
11005,20200005
11001,20200006
11002,20200006
11004,20200006
11005,20200006
11001,20200007
11002,20200007
11004,20200007
11005,20200007
11057,20200015
11058,20200015
11060,20200015
11061,20200015
11057,20200016
11058,20200016
11060,20200016
11061,20200016
11057,20200017
11058,20200017
11060,20200017
11061,20200017
11057,20200018
11058,20200018
11060,20200018
11061,20200018
11057,20200019
11058,20200019
11060,20200019
11061,20200019
11057,20200020
11058,20200020
11060,20200020
11061,20200020
11057,20200021
11058,20200021
11060,20200021
11061,20200021
11113,20200036
11114,20200036
11116,20200036
11117,20200036
11113,20200037
11114,20200037
11116,20200037
11117,20200037
11113,20200038
11114,20200038
11116,20200038
11117,20200038
11113,20200039
11114,20200039
11116,20200039
11117,20200039
11113,20200040
11114,20200040
11116,20200040
11117,20200040
11113,20200041
11114,20200041
11116,20200041
11117,20200041
11113,20200042
11114,20200042
11116,20200042
11117,20200042
11113,20200043
11114,20200043
11116,20200043
11117,20200043
11113,20200044
11114,20200044
11116,20200044
11117,20200044
11062,20200008
11063,20200008
11064,20200008
11065,20200008
11062,20200009
11063,20200009
11064,20200009
11065,20200009
11062,20200010
11063,20200010
11064,20200010
11065,20200010
11062,20200011
11063,20200011
11064,20200011
11065,20200011
11062,20200012
11063,20200012
11064,20200012
11065,20200012
11062,20200013
11063,20200013
11064,20200013
11065,20200013
11062,20200014
11063,20200014
11064,20200014
11065,20200014
11118,20200029
11119,20200029
11120,20200029
11121,20200029
11118,20200030
11119,20200030
11120,20200030
11121,20200030
11118,20200031
11119,20200031
11120,20200031
11121,20200031
11118,20200032
11119,20200032
11120,20200032
11121,20200032
11118,20200033
11119,20200033
11120,20200033
11121,20200033
11118,20200034
11119,20200034
11120,20200034
11121,20200034
11118,20200035
11119,20200035
11120,20200035
11121,20200035
11122,20200022
11123,20200022
11124,20200022
11125,20200022
11122,20200023
11123,20200023
11124,20200023
11125,20200023
11122,20200024
11123,20200024
11124,20200024
11125,20200024
11122,20200025
11123,20200025
11124,20200025
11125,20200025
11122,20200026
11123,20200026
11124,20200026
11125,20200026
11122,20200027
11123,20200027
11124,20200027
11125,20200027
11122,20200028
11123,20200028
11124,20200028
11125,20200028
